"Points:0","Points:1","Points:2","vtkOriginalPointIds"
-2800.8,1524.3,-1441,0
-3634.2,556.46,-1441,1
-3013.6,1277.2,-1441,0
-3176.8,1087.7,-1441,0
-3224.9,1031.8,-1441,0
-3318.5,923.1,-1441,0
-3590.3,607.52,-1441,1
