"Points:0","Points:1","Points:2","vtkOriginalPointIds"
-2201,1273.8,-1441,0
-2800.8,1524.3,-1441,0
-1888.7,1143.4,-1441,0
-1727.4,1114.1,-1441,0
-1793,1103.5,-1441,2
-2963.4,1592.2,-1441,3
