X,Y,Z
519218.13,7697145.28,-1000
519109.14,7696841.15,-1000
519000.15,7696537.01,-1000
518891.15,7696232.88,-1000
518782.16,7695928.74,-1000
518673.16,7695624.6,-1000
518564.17,7695320.47,-1000
518455.18,7695016.33,-1000
518346.18,7694712.19,-1000
518237.19,7694408.06,-1000
518128.19,7694103.92,-1000
518019.2,7693799.78,-1000
517910.21,7693495.65,-1000
517801.21,7693191.51,-1000
519218.13,7697145.28,-2000
519109.14,7696841.15,-2000
519000.15,7696537.01,-2000
518891.15,7696232.88,-2000
518782.16,7695928.74,-2000
518673.16,7695624.6,-2000
518564.17,7695320.47,-2000
518455.18,7695016.33,-2000
518346.18,7694712.19,-2000
518237.19,7694408.06,-2000
518128.19,7694103.92,-2000
518019.2,7693799.78,-2000
517910.21,7693495.65,-2000
517801.21,7693191.51,-2000
519218.13,7697145.28,-1900
519109.14,7696841.15,-1900
519000.15,7696537.01,-1900
518891.15,7696232.88,-1900
518782.16,7695928.74,-1900
518673.16,7695624.6,-1900
518564.17,7695320.47,-1900
518455.18,7695016.33,-1900
518346.18,7694712.19,-1900
518237.19,7694408.06,-1900
518128.19,7694103.92,-1900
518019.2,7693799.78,-1900
517910.21,7693495.65,-1900
517801.21,7693191.51,-1900
519218.13,7697145.28,-1700
519109.14,7696841.15,-1700
519000.15,7696537.01,-1700
518891.15,7696232.88,-1700
518782.16,7695928.74,-1700
518673.16,7695624.6,-1700
518564.17,7695320.47,-1700
518455.18,7695016.33,-1700
518346.18,7694712.19,-1700
518237.19,7694408.06,-1700
518128.19,7694103.92,-1700
518019.2,7693799.78,-1700
517910.21,7693495.65,-1700
517801.21,7693191.51,-1700
519218.13,7697145.28,-1500
519109.14,7696841.15,-1500
519000.15,7696537.01,-1500
518891.15,7696232.88,-1500
518782.16,7695928.74,-1500
518673.16,7695624.6,-1500
518564.17,7695320.47,-1500
518455.18,7695016.33,-1500
518346.18,7694712.19,-1500
518237.19,7694408.06,-1500
518128.19,7694103.92,-1500
518019.2,7693799.78,-1500
517910.21,7693495.65,-1500
517801.21,7693191.51,-1500
519218.13,7697145.28,-1300
519109.14,7696841.15,-1300
519000.15,7696537.01,-1300
518891.15,7696232.88,-1300
518782.16,7695928.74,-1300
518673.16,7695624.6,-1300
518564.17,7695320.47,-1300
518455.18,7695016.33,-1300
518346.18,7694712.19,-1300
518237.19,7694408.06,-1300
518128.19,7694103.92,-1300
518019.2,7693799.78,-1300
517910.21,7693495.65,-1300
517801.21,7693191.51,-1300
519218.13,7697145.28,-1100
519109.14,7696841.15,-1100
519000.15,7696537.01,-1100
518891.15,7696232.88,-1100
518782.16,7695928.74,-1100
518673.16,7695624.6,-1100
518564.17,7695320.47,-1100
518455.18,7695016.33,-1100
518346.18,7694712.19,-1100
518237.19,7694408.06,-1100
518128.19,7694103.92,-1100
518019.2,7693799.78,-1100
517910.21,7693495.65,-1100
517801.21,7693191.51,-1100
