x-coord,y-coord,z-coord
517680.89,7696897.30,-230.00
517679.55,7696939.86,-230.00
517679.36,7696945.77,-230.00
517678.91,7696989.86,-230.00
517678.83,7696995.24,-230.00
517679.22,7697039.86,-230.00
517679.24,7697045.65,-230.00
517680.36,7697089.86,-230.00
517680.50,7697096.91,-230.00
517682.23,7697139.86,-230.00
517682.54,7697148.95,-230.00
517684.73,7697189.86,-230.00
517685.30,7697201.71,-230.00
517687.82,7697239.86,-230.00
517688.74,7697255.15,-230.00
517691.44,7697289.86,-230.00
517692.85,7697309.26,-230.00
517695.60,7697339.86,-230.00
517697.65,7697364.06,-230.00
517700.28,7697389.86,-230.00
517702.70,7697410.60,-230.00
517705.49,7697439.86,-230.00
517707.56,7697455.74,-230.00
517711.23,7697489.86,-230.00
517712.77,7697500.53,-230.00
517717.46,7697539.86,-230.00
517718.28,7697545.03,-230.00
517723.45,7697584.68,-230.00
517724.05,7697589.25,-230.00
517724.12,7697589.86,-230.00
517730.26,7697633.05,-230.00
517731.04,7697639.86,-230.00
517736.53,7697676.77,-230.00
517738.11,7697689.86,-230.00
517742.77,7697720.54,-230.00
517745.14,7697739.86,-230.00
517748.83,7697764.47,-230.00
517751.90,7697789.86,-230.00
517754.59,7697808.71,-230.00
517758.17,7697839.86,-230.00
517759.93,7697853.37,-230.00
517763.72,7697889.86,-230.00
517764.71,7697898.59,-230.00
517768.37,7697939.86,-230.00
517768.79,7697944.51,-230.00
517771.94,7697989.86,-230.00
517772.03,7697991.27,-230.00
517773.45,7698021.37,-230.00
517774.29,7698039.01,-230.00
517774.32,7698039.86,-230.00
517775.40,7698087.90,-230.00
517775.42,7698089.86,-230.00
517775.19,7698138.11,-230.00
517775.17,7698139.86,-230.00
517775.12,7698141.53,-230.00
517773.55,7698189.86,-230.00
517773.55,7698189.96,-230.00
517773.45,7698191.64,-230.00
517770.77,7698237.18,-230.00
517770.60,7698239.86,-230.00
517766.95,7698283.37,-230.00
517766.35,7698289.86,-230.00
517762.24,7698328.65,-230.00
517760.88,7698339.86,-230.00
517756.77,7698373.18,-230.00
517754.34,7698389.86,-230.00
517750.69,7698417.10,-230.00
517746.97,7698439.86,-230.00
517744.15,7698460.56,-230.00
517739.13,7698489.86,-230.00
517737.37,7698503.78,-230.00
517731.37,7698539.86,-230.00
517724.60,7698588.70,-230.00
517724.48,7698589.86,-230.00
517723.45,7698600.67,-230.00
517719.53,7698639.86,-230.00
517719.22,7698644.08,-230.00
517717.77,7698689.86,-230.00
517717.89,7698695.42,-230.00
517720.66,7698739.86,-230.00
517721.01,7698742.29,-230.00
517723.45,7698756.12,-230.00
517728.30,7698785.00,-230.00
517729.24,7698789.86,-230.00
517739.01,7698824.29,-230.00
517743.60,7698839.86,-230.00
517751.99,7698861.31,-230.00
517763.05,7698889.86,-230.00
517766.41,7698896.89,-230.00
517773.45,7698912.10,-230.00
517782.06,7698931.24,-230.00
517785.76,7698939.86,-230.00
517798.37,7698964.93,-230.00
517810.14,7698989.86,-230.00
517814.77,7698998.53,-230.00
517823.45,7699016.07,-230.00
517831.19,7699032.11,-230.00
517834.53,7699039.86,-230.00
517843.09,7699059.51,-230.00
517857.04,7699089.86,-230.00
517862.10,7699101.20,-230.00
517873.45,7699131.34,-230.00
517875.78,7699137.52,-230.00
517876.51,7699139.86,-230.00
517887.73,7699175.57,-230.00
517891.40,7699189.86,-230.00
517897.63,7699215.67,-230.00
517902.42,7699239.86,-230.00
517905.59,7699257.71,-230.00
517910.40,7699289.86,-230.00
517915.28,7699331.69,-230.00
517916.34,7699339.86,-230.00
517920.71,7699387.12,-230.00
517920.98,7699389.86,-230.00
517923.45,7699424.98,-230.00
517924.50,7699439.86,-230.00
517924.55,7699440.96,-230.00
517926.83,7699489.86,-230.00
517927.85,7699535.45,-230.00
517927.97,7699539.86,-230.00
517928.11,7699585.19,-230.00
517928.79,7699589.86,-230.00
517931.17,7699632.13,-230.00
517938.02,7699639.86,-230.00
517953.95,7699659.35,-230.00
517973.45,7699679.96,-230.00
517978.13,7699685.17,-230.00
