X,Y,Z
508420.82,7704902.27,-810.36
508865.96,7705170.66,-810.36
509311.1,7705439.05,-810.36
509756.23,7705707.44,-810.36
510201.36,7705975.83,-810.36
510647.02,7706244.5,-810.36
511092.67,7706513.17,-810.36
511312.53,7706650.27,-810.36
511537.28,7706781.28,-810.36
511768.74,7706903.98,-810.36
511879.59,7706971.38,-810.36
511932.06,7707008.76,-810.36
511981.9,7707049.4,-810.36
512030.64,7707095.41,-810.36
512077.07,7707144.28,-810.36
512167.32,7707245.3,-810.36
512352.73,7707441.2,-810.36
512538.15,7707637.09,-810.36
512723.57,7707832.99,-810.36
512909.02,7708028.92,-810.36
513094.47,7708224.85,-810.36
513273.05,7708443.81,-813.93
513451.63,7708662.76,-817.51
513630.22,7708881.72,-821.09
513808.8,7709100.67,-824.67
513851.76,7709161.2,-826.46
513894.72,7709221.74,-828.25
513980.64,7709342.8,-831.83
514152.48,7709584.94,-838.99
514324.29,7709827.02,-846.14
514496.09,7710069.11,-853.3
514667.9,7710311.2,-860.46
514839.71,7710553.29,-867.62
508318.79,7704996.85,-989.56
508763.92,7705265.25,-989.56
509209.06,7705533.64,-989.56
509654.19,7705802.03,-989.56
510099.33,7706070.42,-989.56
510544.98,7706339.08,-989.56
510990.63,7706607.75,-989.56
511210.48,7706744.86,-989.56
511435.25,7706875.87,-989.56
511666.75,7706998.51,-989.56
511777.6,7707065.92,-989.56
511830.05,7707103.31,-989.56
511879.86,7707143.98,-989.56
511928.55,7707190.04,-989.56
511974.92,7707238.97,-989.56
512065.02,7707340.12,-989.56
512250.18,7707536.26,-989.56
512435.34,7707732.4,-989.56
512620.5,7707928.54,-989.56
512805.61,7708124.77,-989.56
512990.71,7708321,-989.56
513176.05,7708533.15,-989.9
513361.39,7708745.31,-990.24
513546.72,7708957.46,-990.57
513732.06,7709169.62,-990.91
513778.17,7709226.94,-991.08
513824.29,7709284.26,-991.25
513916.51,7709398.9,-991.59
514100.97,7709628.18,-992.27
514285.41,7709857.44,-992.94
514469.85,7710086.69,-993.62
514654.29,7710315.94,-994.3
514838.73,7710545.2,-994.97
508266.34,7705045.47,-1079.16
508711.47,7705313.87,-1079.16
509156.61,7705582.26,-1079.16
509601.74,7705850.65,-1079.16
510046.88,7706119.04,-1079.16
510492.53,7706387.7,-1079.16
510938.18,7706656.37,-1079.16
511158.02,7706793.49,-1079.16
511382.8,7706924.49,-1079.16
511614.32,7707047.11,-1079.16
511725.17,7707114.52,-1079.16
511777.62,7707151.92,-1079.16
511827.41,7707192.6,-1079.16
511876.08,7707238.68,-1079.16
511922.43,7707287.63,-1079.16
512012.47,7707388.83,-1079.16
512197.54,7707585.06,-1079.16
512382.6,7707781.29,-1079.16
512567.66,7707977.51,-1079.16
512752.64,7708173.86,-1079.16
512937.62,7708370.2,-1079.16
