X,Y,Z
518180.85,7697214.06,-1064.42
517869.41,7697521.38,-1064.42
517557.98,7697828.71,-1064.42
517246.55,7698136.03,-1064.42
517088.54,7698287.59,-1064.42
516935.11,7698443.35,-1064.42
516850.81,7698538.11,-1064.42
516769.38,7698635.5,-1064.42
516609.79,7698833.32,-1064.42
516284.48,7699223.28,-1064.42
515959.16,7699613.25,-1064.42
515633.84,7700003.22,-1064.42
518378.35,7697403.44,-1360.05
518066.92,7697710.76,-1360.05
517755.49,7698018.08,-1360.05
517444.05,7698325.4,-1360.05
517286.05,7698476.96,-1360.05
517132.62,7698632.72,-1360.05
517048.31,7698727.48,-1360.05
516966.88,7698824.88,-1360.05
516807.3,7699022.69,-1360.05
516481.98,7699412.66,-1360.05
516156.66,7699802.62,-1360.05
515831.34,7700192.59,-1360.05
518481.26,7697502.11,-1507.86
518169.83,7697809.43,-1507.86
517858.4,7698116.76,-1507.86
517546.96,7698424.08,-1507.86
517388.96,7698575.64,-1507.86
517235.53,7698731.4,-1507.86
517151.23,7698826.15,-1507.86
517069.79,7698923.55,-1507.86
516910.21,7699121.37,-1507.86
516584.89,7699511.33,-1507.86
516259.58,7699901.3,-1507.86
515934.26,7700291.27,-1507.86
518589.17,7697605.57,-1655.67
518277.74,7697912.89,-1655.67
517966.3,7698220.22,-1655.67
517654.87,7698527.54,-1655.67
517496.87,7698679.1,-1655.67
517343.44,7698834.86,-1655.67
517259.13,7698929.62,-1655.67
517177.7,7699027.01,-1655.67
517018.12,7699224.83,-1655.67
516692.8,7699614.79,-1655.67
516367.48,7700004.76,-1655.67
516042.16,7700394.73,-1655.67
518703.18,7697714.88,-1803.49
518391.74,7698022.2,-1803.49
518080.31,7698329.53,-1803.49
517768.88,7698636.85,-1803.49
517610.87,7698788.41,-1803.49
517457.44,7698944.17,-1803.49
517373.14,7699038.93,-1803.49
517291.7,7699136.32,-1803.49
517132.12,7699334.14,-1803.49
516806.81,7699724.1,-1803.49
516481.49,7700114.07,-1803.49
516156.17,7700504.04,-1803.49
518822.17,7697828.98,-1951.3
518510.74,7698136.3,-1951.3
518199.31,7698443.62,-1951.3
517887.87,7698750.94,-1951.3
517729.87,7698902.5,-1951.3
517576.44,7699058.27,-1951.3
517492.14,7699153.02,-1951.3
517410.7,7699250.42,-1951.3
517251.12,7699448.23,-1951.3
516925.8,7699838.2,-1951.3
516600.48,7700228.17,-1951.3
516275.17,7700618.13,-1951.3
519068.49,7698065.15,-2246.93
518757.06,7698372.47,-2246.93
518445.62,7698679.79,-2246.93
518134.19,7698987.11,-2246.93
517976.19,7699138.67,-2246.93
517822.76,7699294.44,-2246.93
517738.45,7699389.19,-2246.93
517657.02,7699486.59,-2246.93
517497.44,7699684.4,-2246.93
517172.12,7700074.37,-2246.93
516846.8,7700464.34,-2246.93
516521.48,7700854.3,-2246.93
