X,Y,Z
510891.33,7702533.87,-430.59
511214.4,7702473.67,-434.23
511537.47,7702413.46,-437.86
511860.53,7702353.26,-441.5
512183.6,7702293.05,-445.13
512506.66,7702232.85,-448.76
512829.73,7702172.64,-452.4
513152.8,7702112.44,-456.03
513475.86,7702052.23,-459.67
513798.93,7701992.03,-463.3
514121.99,7701931.83,-466.94
510872.76,7702499.63,-546.51
511198.34,7702446.9,-545.64
511523.91,7702394.16,-544.77
511849.49,7702341.43,-543.9
512175.06,7702288.7,-543.02
512500.64,7702235.96,-542.15
512826.21,7702183.23,-541.28
513151.79,7702130.49,-540.41
513477.36,7702077.76,-539.54
513802.94,7702025.03,-538.66
514128.51,7701972.29,-537.79
510856.62,7702469.23,-662.43
511184.47,7702423.78,-657.05
511512.31,7702378.34,-651.68
511840.16,7702332.9,-646.3
512168,7702287.45,-640.92
512495.84,7702242.01,-635.54
512823.69,7702196.56,-630.16
513151.53,7702151.12,-624.78
513479.37,7702105.67,-619.4
513807.22,7702060.23,-614.02
514135.06,7702014.78,-608.65
510850.23,7702456.67,-720.39
511179.04,7702414.74,-712.76
511507.85,7702372.82,-705.13
511836.67,7702330.89,-697.5
512165.48,7702288.97,-689.86
512494.29,7702247.04,-682.23
512823.1,7702205.12,-674.6
513151.92,7702163.19,-666.97
513480.73,7702121.27,-659.34
513809.54,7702079.34,-651.71
514138.35,7702037.42,-644.07
510845.35,7702446.5,-778.35
511174.98,7702407.98,-768.47
511504.62,7702369.46,-758.58
511834.25,7702330.94,-748.7
512163.88,7702292.43,-738.81
512493.51,7702253.91,-728.93
512823.14,7702215.39,-719.04
513152.77,7702176.87,-709.16
513482.4,7702138.35,-699.27
513812.03,7702099.83,-689.39
514141.66,7702061.32,-679.5
510842.3,7702439.21,-836.31
511172.57,7702403.96,-824.17
511502.84,7702368.71,-812.04
511833.11,7702333.47,-799.9
512163.38,7702298.22,-787.76
512493.65,7702262.97,-775.62
512823.92,7702227.72,-763.48
513154.19,7702192.47,-751.34
513484.46,7702157.23,-739.21
513814.73,7702121.98,-727.07
514144.99,7702086.73,-714.93
510841.38,7702435.28,-894.27
511172.08,7702403.14,-879.88
511502.78,7702371,-865.49
511833.47,7702338.87,-851.1
512164.17,7702306.73,-836.71
512494.87,7702274.6,-822.31
512825.56,7702242.46,-807.92
513156.26,7702210.32,-793.53
513486.96,7702178.19,-779.14
513817.65,7702146.05,-764.75
514148.35,7702113.91,-750.36
510842.9,7702435.18,-952.23
511173.78,7702405.97,-935.59
511504.66,7702376.77,-918.94
511835.55,7702347.56,-902.3
512166.43,7702318.36,-885.65
512497.31,7702289.15,-869.01
512828.2,7702259.94,-852.36
513159.08,7702230.74,-835.72
513489.96,7702201.53,-819.07
513820.85,7702172.33,-802.43
514151.73,7702143.12,-785.78
510847.15,7702439.4,-1010.19
511177.95,7702412.92,-991.29
511508.75,7702386.44,-972.4
511839.55,7702359.96,-953.5
512170.35,7702333.48,-934.6
512501.15,7702307,-915.7
512831.94,7702280.52,-896.8
513162.74,7702254.04,-877.91
513493.54,7702227.56,-859.01
513824.34,7702201.08,-840.11
514155.14,7702174.6,-821.21
510854.44,7702448.41,-1068.15
511184.86,7702424.43,-1047
511515.27,7702400.45,-1025.85
511845.69,7702376.47,-1004.7
512176.1,7702352.49,-983.55
512506.51,7702328.51,-962.4
512836.93,7702304.53,-941.24
513167.34,7702280.55,-920.09
513497.76,7702256.57,-898.94
513828.17,7702232.59,-877.79
514158.59,7702208.61,-856.64
510865.08,7702462.7,-1126.11
511194.78,7702440.97,-1102.71
511524.48,7702419.24,-1079.3
511854.18,7702397.51,-1055.9
512183.88,7702375.78,-1032.49
512513.58,7702354.05,-1009.09
512843.27,7702332.32,-985.68
513172.97,7702310.59,-962.28
513502.67,7702288.86,-938.88
513832.37,7702267.13,-915.47
514162.07,7702245.4,-892.07
510879.37,7702482.75,-1184.07
511207.99,7702462.99,-1158.41
511536.62,7702443.24,-1132.76
511865.24,7702423.49,-1107.1
512193.86,7702403.73,-1081.44
512522.48,7702383.98,-1055.78
512851.11,7702364.23,-1030.12
513179.73,7702344.48,-1004.47
513508.35,7702324.72,-978.81
513836.97,7702304.97,-953.15
514165.59,7702285.22,-927.49
510897.62,7702509.02,-1242.03
511224.77,7702490.95,-1214.12
511551.93,7702472.88,-1186.21
511879.08,7702454.81,-1158.3
512206.24,7702436.74,-1130.39
512533.39,7702418.67,-1102.48
512860.54,7702400.6,-1074.57
513187.7,7702382.53,-1046.65
513514.85,7702364.47,-1018.74
513842.01,7702346.4,-990.83
514169.16,7702328.33,-962.92
510920.12,7702542.01,-1299.99
511245.39,7702525.31,-1269.83
511570.65,7702508.6,-1239.66
511895.92,7702491.9,-1209.5
512221.18,7702475.2,-1179.33
512546.45,7702458.49,-1149.17
512871.72,7702441.79,-1119.01
513196.98,7702425.08,-1088.84
513522.25,7702408.38,-1058.68
513847.51,7702391.68,-1028.51
514172.78,7702374.97,-998.35
510947.19,7702582.2,-1357.95
511270.11,7702566.52,-1325.53
511593.04,7702550.84,-1293.12
511915.97,7702535.16,-1260.7
512238.89,7702519.48,-1228.28
512561.82,7702503.8,-1195.86
512884.74,7702488.12,-1163.45
513207.67,7702472.44,-1131.03
513530.59,7702456.77,-1098.61
513853.52,7702441.09,-1066.19
514176.44,7702425.41,-1033.78
510979.02,7702629.89,-1415.91
511299.14,7702614.88,-1381.24
511619.25,7702599.87,-1346.57
511939.36,7702584.87,-1311.9
512259.48,7702569.86,-1277.23
512579.59,7702554.85,-1242.56
512899.71,7702539.84,-1207.89
513219.82,7702524.83,-1173.22
513539.94,7702509.82,-1138.55
513860.05,7702494.81,-1103.87
514180.17,7702479.8,-1069.2
511015.42,7702684.78,-1473.87
511332.27,7702670.1,-1436.95
511649.12,7702655.42,-1400.02
511965.97,7702640.74,-1363.1
512282.82,7702626.06,-1326.18
512599.68,7702611.39,-1289.25
512916.53,7702596.71,-1252.33
513233.38,7702582.03,-1215.4
513550.23,7702567.35,-1178.48
513867.08,7702552.67,-1141.56
514183.94,7702537.99,-1104.63
511056.07,7702746.38,-1531.83
511369.24,7702731.72,-1492.65
511682.41,7702717.05,-1453.48
511995.58,7702702.38,-1414.3
512308.75,7702687.72,-1375.12
512621.91,7702673.05,-1335.94
512935.08,7702658.38,-1296.77
513248.25,7702643.72,-1257.59
513561.42,7702629.05,-1218.41
513874.59,7702614.38,-1179.24
514187.76,7702599.72,-1140.06
511100.68,7702814.22,-1589.79
511409.78,7702799.27,-1548.36
511718.87,7702784.32,-1506.93
512027.96,7702769.37,-1465.5
512337.06,7702754.42,-1424.07
512646.15,7702739.47,-1382.64
512955.24,7702724.52,-1341.21
513264.34,7702709.58,-1299.78
513573.43,7702694.63,-1258.35
513882.52,7702679.68,-1216.92
514191.62,7702664.73,-1175.49
511148.94,7702887.81,-1647.75
511453.6,7702872.3,-1604.07
511758.26,7702856.8,-1560.38
512062.92,7702841.3,-1516.7
512367.57,7702825.79,-1473.02
512672.23,7702810.29,-1429.33
512976.89,7702794.79,-1385.65
513281.55,7702779.28,-1341.96
513586.21,7702763.78,-1298.28
513890.86,7702748.28,-1254.6
514195.52,7702732.77,-1210.91
511200.55,7702966.67,-1705.71
511500.44,7702950.37,-1659.77
511800.33,7702934.06,-1613.84
512100.22,7702917.75,-1567.9
512400.11,7702901.44,-1521.96
512700.01,7702885.13,-1476.03
512999.9,7702868.83,-1430.09
513299.79,7702852.52,-1384.15
513599.68,7702836.21,-1338.22
513899.57,7702819.9,-1292.28
514199.46,7702803.6,-1246.34
511255.2,7703050.33,-1763.67
511550.02,7703032.99,-1715.48
511844.84,7703015.66,-1667.29
512139.67,7702998.32,-1619.1
512434.49,7702980.98,-1570.91
512729.32,7702963.64,-1522.72
513024.14,7702946.3,-1474.53
513318.97,7702928.96,-1426.34
513613.79,7702911.63,-1378.15
513908.61,7702894.29,-1329.96
514203.44,7702876.95,-1281.77
511312.58,7703138.31,-1821.63
511602.07,7703119.74,-1771.19
511891.55,7703101.16,-1720.74
512181.04,7703082.59,-1670.3
512470.53,7703064.02,-1619.86
512760.01,7703045.44,-1569.41
513049.5,7703026.87,-1518.97
513338.99,7703008.3,-1468.53
513628.47,7702989.72,-1418.08
513917.96,7702971.15,-1367.64
514207.44,7702952.58,-1317.2
511434.35,7703325.29,-1937.55
511712.47,7703303.72,-1882.6
511990.59,7703282.16,-1827.65
512268.71,7703260.59,-1772.7
512546.82,7703239.03,-1717.75
512824.94,7703217.47,-1662.8
513103.06,7703195.9,-1607.85
513381.18,7703174.34,-1552.9
513659.3,7703152.77,-1497.95
513937.42,7703131.21,-1443
514215.53,7703109.64,-1388.05
511563.42,7703523.78,-2053.47
511829.45,7703498.68,-1994.01
512095.48,7703473.58,-1934.56
512361.51,7703448.48,-1875.1
512627.54,7703423.38,-1815.64
512893.56,7703398.28,-1756.19
513159.59,7703373.18,-1696.73
513425.62,7703348.07,-1637.28
513691.65,7703322.97,-1577.82
513957.68,7703297.87,-1518.36
514223.71,7703272.77,-1458.91
511833.73,7703939.94,-2285.31
512074.38,7703906.86,-2216.84
512315.02,7703873.78,-2148.37
512555.67,7703840.7,-2079.9
512796.31,7703807.62,-2011.43
513036.96,7703774.54,-1942.96
513277.6,7703741.46,-1874.49
513518.25,7703708.38,-1806.02
513758.89,7703675.31,-1737.56
513999.54,7703642.23,-1669.09
514240.19,7703609.15,-1600.62
