X,Y,Z
512385.4,7705575.94,-722.49
512724.74,7705877.51,-722.49
513064.07,7706179.09,-722.49
513402.67,7706481.48,-722.49
513569.23,7706635.41,-722.49
513731.6,7706794.22,-722.49
513811.02,7706875.7,-722.49
513890.44,7706957.19,-722.49
513972.14,7707035.84,-722.49
514014.37,7707073.46,-722.49
514057.83,7707109.55,-722.49
514102.6,7707143.85,-722.5
514148.67,7707176.5,-722.52
514195.88,7707207.67,-722.54
514244.07,7707237.52,-722.55
514342.77,7707293.88,-722.59
514443.5,7707346.86,-722.62
514646.79,7707448.99,-722.72
514844.87,7707558.86,-722.81
514938.53,7707620.6,-723.23
515028.85,7707687.55,-723.64
515199.26,7707834.53,-724.47
515280.25,7707914.09,-725.17
515358.57,7707996.16,-725.86
515510.75,7708164.49,-727.25
512348.37,7705610.27,-817.43
512686.78,7705911.03,-817.43
513025.3,7706211.66,-817.43
513362.55,7706513.71,-817.43
513528.61,7706667.35,-817.43
513691.3,7706824.88,-817.43
513771.39,7706905.16,-817.43
513851.48,7706985.44,-817.43
513933.59,7707063.27,-817.43
513975.81,7707100.76,-817.43
514019.07,7707136.99,-817.43
514063.34,7707171.66,-817.29
514108.69,7707204.99,-817.15
514155.41,7707236.56,-817.01
514202.13,7707268.13,-816.87
514298.35,7707327.47,-816.59
514396.33,7707384.09,-816.31
514593.45,7707494.11,-815.71
514786.12,7707610.51,-815.12
514878.16,7707674.47,-815.18
514967.23,7707742.79,-815.24
515136.21,7707890.71,-815.37
515216.88,7707970.11,-815.98
515295.13,7708051.82,-816.59
515447.63,7708219.09,-817.81
512310.95,7705644.95,-912.38
512648.68,7705945.11,-912.38
512986.63,7706245.03,-912.38
513322.77,7706546.96,-912.38
513488.43,7706700.39,-912.38
513651.55,7706856.79,-912.38
513732.34,7706935.96,-912.38
513813.12,7707015.14,-912.38
513895.66,7707092.24,-912.38
513938.3,7707129.13,-912.38
513980.94,7707166.03,-912.38
514025.18,7707200.6,-912.09
514069.42,7707235.17,-911.79
514115.19,7707267.83,-911.49
514160.97,7707300.48,-911.19
514254.78,7707362.83,-910.59
514350.02,7707423.08,-910
514541.14,7707540.97,-908.71
514728.56,7707663.95,-907.42
514818.97,7707730.17,-907.13
514906.84,7707799.9,-906.84
515074.55,7707948.91,-906.27
515154.95,7708028.22,-906.79
515233.19,7708109.63,-907.32
515386.09,7708275.96,-908.36
512272.76,7705680.36,-1007.33
512610.29,7705980.35,-1007.33
512948.14,7706279.98,-1007.33
513283.64,7706582.22,-1007.33
513449.17,7706735.66,-1007.33
513612.9,7706891.18,-1007.33
513694.43,7706969.44,-1007.33
513775.97,7707047.7,-1007.33
513858.97,7707124.25,-1007.33
513901.53,7707161.27,-1007.33
513944.09,7707198.29,-1007.33
513987.81,7707233.51,-1006.88
514031.53,7707268.73,-1006.42
514076.43,7707302.52,-1005.96
514121.32,7707336.31,-1005.51
514212.84,7707401.71,-1004.6
514305.47,7707465.58,-1003.69
514490.9,7707591.33,-1001.7
514673.39,7707720.98,-999.72
514762.24,7707789.51,-999.08
514849,7707860.77,-998.45
515015.65,7708011.14,-997.17
515095.9,7708090.49,-997.61
515174.23,7708171.74,-998.04
515327.73,7708337.36,-998.91
512253.25,7705698.44,-1054.81
512590.94,7705998.57,-1054.81
512928.99,7706298.3,-1054.81
513264.43,7706600.92,-1054.81
513430.03,7706754.47,-1054.81
513594.16,7706909.7,-1054.81
513676.1,7706987.6,-1054.81
513758.03,7707065.5,-1054.81
513841.27,7707141.89,-1054.81
513883.81,7707179.01,-1054.81
513926.34,7707216.14,-1054.81
513969.83,7707251.72,-1054.27
514013.32,7707287.3,-1053.74
514057.81,7707321.68,-1053.2
514102.3,7707356.06,-1052.67
514193.21,7707422.38,-1051.6
514284.12,7707488.71,-1050.53
514466.88,7707618.39,-1048.2
514647.08,7707751.41,-1045.87
514735.19,7707821.13,-1045.06
514821.44,7707893.2,-1044.25
514987.68,7708044.4,-1042.62
515067.9,7708123.85,-1043.01
515146.33,7708205.07,-1043.41
515300.24,7708370.47,-1044.19
512233.4,7705716.84,-1102.28
512571.46,7706017.3,-1102.28
512909.92,7706317.31,-1102.28
513245.51,7706620.5,-1102.28
513411.28,7706774.25,-1102.28
513575.91,7706929.3,-1102.28
513658.26,7707006.93,-1102.28
513740.61,7707084.55,-1102.28
513824.11,7707160.86,-1102.28
513866.63,7707198.12,-1102.28
513909.15,7707235.39,-1102.28
513952.43,7707271.36,-1101.67
513995.71,7707307.33,-1101.05
514039.81,7707342.33,-1100.44
514083.92,7707377.33,-1099.83
514173.72,7707445.35,-1098.6
514263.53,7707513.37,-1097.37
514443.78,7707646.98,-1094.7
514621.82,7707783.4,-1092.02
514709.23,7707854.34,-1091.04
514795,7707927.28,-1090.05
514960.91,7708079.43,-1088.07
515041.15,7708159.03,-1088.42
515119.73,7708240.29,-1088.77
515274.13,7708405.57,-1089.46
512213.17,7705735.6,-1149.76
512551.84,7706036.6,-1149.76
512890.93,7706337.12,-1149.76
513226.92,7706641.1,-1149.76
513392.56,7706795.62,-1149.76
513558.21,7706950.15,-1149.76
513641,7707027.59,-1149.76
513723.78,7707105.04,-1149.76
513807.57,7707181.35,-1149.76
513850.08,7707218.8,-1149.76
513892.59,7707256.25,-1149.76
513935.69,7707292.65,-1149.06
513978.78,7707329.05,-1148.37
514022.53,7707364.68,-1147.68
514066.28,7707400.31,-1146.99
514155.05,7707470.05,-1145.6
514243.81,7707539.78,-1144.22
514421.71,7707677.33,-1141.2
514597.75,7707817.19,-1138.17
514684.51,7707889.38,-1137.01
514769.86,7707963.25,-1135.85
514935.52,7708116.48,-1133.52
515015.84,7708196.29,-1133.83
515094.62,7708277.65,-1134.13
515249.62,7708442.94,-1134.74
512192.5,7705754.76,-1197.23
512532.05,7706056.54,-1197.23
512872.05,7706357.82,-1197.23
513208.7,7706662.82,-1197.23
513374.91,7706817.61,-1197.23
513541.13,7706972.39,-1197.23
513624.38,7707049.76,-1197.23
513707.63,7707127.13,-1197.23
513792.19,7707203.02,-1197.23
513834.47,7707240.97,-1197.23
513876.75,7707278.92,-1197.23
513919.93,7707315.5,-1196.46
513963.11,7707352.08,-1195.69
514006.29,7707388.66,-1194.92
514049.47,7707425.24,-1194.15
514137.28,7707496.71,-1192.6
514225.08,7707568.18,-1191.06
514400.8,7707709.67,-1187.69
514575.03,7707853,-1184.33
514661.19,7707926.48,-1182.99
514746.17,7708001.33,-1181.65
514911.69,7708155.79,-1178.97
514992.14,7708235.9,-1179.23
515071.17,7708317.43,-1179.5
515226.89,7708482.85,-1180.02
512171.34,7705774.37,-1244.71
512512.08,7706077.21,-1244.71
512853.28,7706379.51,-1244.71
513190.89,7706685.81,-1244.71
513357.82,7706841,-1244.71
513524.74,7706996.19,-1244.71
513608.48,7707073.6,-1244.71
513692.22,7707151.01,-1244.71
513776.96,7707227.31,-1244.71
513819.33,7707265.45,-1244.71
513861.7,7707303.6,-1244.71
513904.67,7707340.78,-1243.86
513947.65,7707377.96,-1243.01
513990.62,7707415.14,-1242.15
514033.59,7707452.32,-1241.3
514120.51,7707525.55,-1239.6
514207.43,7707598.77,-1237.9
514381.2,7707744.21,-1234.19
514553.81,7707891.05,-1230.48
514638.96,7707966.41,-1228.96
514724.11,7708041.76,-1227.45
514889.59,7708197.63,-1224.42
514970.22,7708278.12,-1224.64
515049.58,7708359.9,-1224.86
515206.14,7708525.6,-1225.29
512149.65,7705794.47,-1292.18
512491.9,7706098.66,-1292.18
512834.64,7706402.3,-1292.18
513173.54,7706710.18,-1292.18
513341.33,7706865.94,-1292.18
513509.11,7707021.69,-1292.18
513593.37,7707099.28,-1292.18
513677.63,7707176.86,-1292.18
513762.58,7707253.68,-1292.18
513805.06,7707292.09,-1292.18
513847.53,7707330.5,-1292.18
513890.33,7707368.32,-1291.25
513933.12,7707406.14,-1290.32
513975.91,7707443.95,-1289.39
514018.71,7707481.77,-1288.46
514104.85,7707556.78,-1286.61
514190.99,7707631.78,-1284.75
514362.61,7707781.68,-1280.69
514534.24,7707931.57,-1276.63
514619.03,7708008.18,-1274.94
514703.82,7708084.79,-1273.25
514869.4,7708242.25,-1269.87
514949.71,7708323.78,-1270.05
515030.02,7708405.32,-1270.22
515187.58,7708571.47,-1270.57
512127.38,7705815.12,-1339.65
512471.51,7706120.97,-1339.65
512816.13,7706426.27,-1339.65
513156.68,7706736.07,-1339.65
513325.5,7706892.57,-1339.65
513494.31,7707049.06,-1339.65
513579.31,7707126.75,-1339.65
513664.32,7707204.44,-1339.65
513749.32,7707282.12,-1339.65
513791.82,7707320.97,-1339.65
513834.32,7707359.81,-1339.65
513877.01,7707398.26,-1338.65
513919.7,7707436.72,-1337.64
513962.39,7707475.17,-1336.63
514005.09,7707513.62,-1335.62
514090.47,7707590.53,-1333.61
514175.85,7707667.43,-1331.59
514346.16,7707821.1,-1327.19
514516.46,7707974.78,-1322.78
514600.97,7708052.71,-1320.92
514685.49,7708130.65,-1319.05
514851.28,7708289.89,-1315.32
514931.98,7708371.92,-1315.46
515012.69,7708453.96,-1315.59
515171.4,7708620.75,-1315.85
512104.48,7705836.35,-1387.13
512450.88,7706144.21,-1387.13
512797.76,7706451.54,-1387.13
513140.36,7706763.59,-1387.13
513310.39,7706921.02,-1387.13
513480.41,7707078.45,-1387.13
513565.84,7707156.78,-1387.13
513651.27,7707235.1,-1387.13
513736.7,7707313.42,-1387.13
513779.42,7707352.58,-1387.13
513822.14,7707391.74,-1387.13
513864.64,7707431.01,-1386.04
513907.14,7707470.29,-1384.96
513949.64,7707509.56,-1383.87
513992.14,7707548.84,-1382.78
514077.14,7707627.39,-1380.61
514162.14,7707705.94,-1378.44
514331.38,7707863.42,-1373.68
514500.62,7708020.9,-1368.93
514584.95,7708100.24,-1366.89
514669.27,7708179.58,-1364.85
514835.4,7708340.81,-1360.78
514916.58,7708423.45,-1360.86
514997.76,7708506.09,-1360.95
515157.8,7708673.7,-1361.12
512080.9,7705858.2,-1434.6
512430,7706168.46,-1434.6
512779.55,7706478.19,-1434.6
513124.62,7706792.88,-1434.6
513296.05,7706951.45,-1434.6
513467.48,7707110.02,-1434.6
513553.37,7707189.13,-1434.6
513639.27,7707268.25,-1434.6
513725.17,7707347.37,-1434.6
513768.12,7707386.93,-1434.6
513811.07,7707426.49,-1434.6
513853.43,7707466.61,-1433.44
513895.79,7707506.74,-1432.27
513938.15,7707546.87,-1431.11
513980.51,7707587,-1429.94
514065.23,7707667.26,-1427.61
514149.94,7707747.52,-1425.28
514318.42,7707908.85,-1420.18
514486.89,7708070.17,-1415.08
514571.11,7708150.99,-1412.87
514655.32,7708231.8,-1410.65
514821.95,7708395.27,-1406.23
514903.69,7708478.63,-1406.27
514985.43,7708561.98,-1406.31
515146.98,7708730.63,-1406.4
512056.6,7705880.73,-1482.08
512408.84,7706193.78,-1482.08
512761.51,7706506.33,-1482.08
513109.5,7706824.07,-1482.08
513282.54,7706983.99,-1482.08
513455.58,7707143.91,-1482.08
513541.98,7707224,-1482.08
513628.38,7707304.08,-1482.08
513714.79,7707384.17,-1482.08
513757.99,7707424.21,-1482.08
513801.19,7707464.25,-1482.08
513843.66,7707505.06,-1480.83
513886.14,7707545.87,-1479.59
513928.61,7707586.69,-1478.34
513971.08,7707627.5,-1477.1
514055.24,7707709.95,-1474.61
514139.39,7707792.4,-1472.12
514307.39,7707957.6,-1466.68
514475.39,7708122.8,-1461.23
514559.32,7708205.48,-1458.84
514643.24,7708288.15,-1456.45
514811.09,7708453.5,-1451.68
514893.48,7708537.7,-1451.68
514975.88,7708621.9,-1451.68
515139.14,7708791.81,-1451.68
512031.53,7705903.97,-1529.55
512387.39,7706220.22,-1529.55
512743.65,7706536.03,-1529.55
513095.03,7706857.22,-1529.55
513269.89,7707018.73,-1529.55
513444.76,7707180.24,-1529.55
513532.14,7707261.02,-1528.78
513619.53,7707341.79,-1528.01
513706.05,7707423.48,-1527.24
513749.31,7707464.32,-1526.85
513792.56,7707505.17,-1526.47
513835.06,7707546.85,-1524.91
513877.56,7707588.54,-1523.36
513920.06,7707630.22,-1521.81
513962.56,7707671.91,-1520.26
514046.55,7707756.31,-1517.15
514130.54,7707840.72,-1514.04
514298.39,7708009.84,-1507.39
514466.25,7708178.95,-1500.74
514550.42,7708263.14,-1497.73
514634.59,7708347.32,-1494.71
514802.94,7708515.7,-1488.69
514885.8,7708601.13,-1488.6
514968.67,7708686.57,-1488.51
515134.4,7708857.44,-1488.33
512005.74,7705927.87,-1577.03
512365.67,7706247.74,-1577.03
512725.95,7706567.21,-1577.03
513081.18,7706892.27,-1577.03
513258.08,7707055.58,-1577.03
513434.98,7707218.9,-1577.03
513523.11,7707300.84,-1575.48
513611.23,7707382.77,-1573.94
513698.18,7707465.94,-1572.4
513741.66,7707507.52,-1571.63
513785.13,7707549.1,-1570.85
513827.7,7707591.71,-1568.99
513870.27,7707634.32,-1567.13
513912.84,7707676.92,-1565.27
513955.41,7707719.53,-1563.41
514039.37,7707805.93,-1559.69
514123.33,7707892.34,-1555.97
514291.34,7708065.4,-1548.11
514459.34,7708238.46,-1540.25
514543.85,7708324.27,-1536.61
514628.36,7708410.07,-1532.97
514797.38,7708581.67,-1525.7
514881.2,7708668.08,-1525.52
514965.01,7708754.49,-1525.34
515132.65,7708927.31,-1524.98
511979.27,7705952.41,-1624.5
512343.7,7706276.26,-1624.5
512708.41,7706599.78,-1624.5
513067.9,7706929.08,-1624.5
513247.03,7707094.4,-1624.5
513426.16,7707259.73,-1624.5
513515.07,7707342.99,-1622.19
513603.98,7707426.26,-1619.87
513691.39,7707511.06,-1617.56
513735.1,7707553.45,-1616.4
513778.81,7707595.85,-1615.24
513821.49,7707639.43,-1613.07
513864.17,7707683.01,-1610.9
513906.84,7707726.58,-1608.73
513949.52,7707770.16,-1606.56
514033.59,7707858.59,-1602.23
514117.65,7707947.03,-1597.89
514286.09,7708124.07,-1588.82
514454.54,7708301.12,-1579.76
514539.46,7708388.63,-1575.49
514624.39,7708476.15,-1571.23
514794.24,7708651.18,-1562.71
514879.1,7708738.67,-1562.44
514963.96,7708826.17,-1562.17
515133.67,7709001.16,-1561.63
511952.17,7705977.53,-1671.98
512321.48,7706305.72,-1671.98
512691.02,7706633.64,-1671.98
513055.16,7706967.53,-1671.98
513236.7,7707135.05,-1671.98
513418.25,7707302.58,-1671.98
513507.97,7707387.32,-1668.89
513597.69,7707472.06,-1665.8
513685.61,7707558.64,-1662.72
513729.56,7707601.93,-1661.17
513773.52,7707645.22,-1659.63
513816.34,7707689.81,-1657.15
513859.17,7707734.4,-1654.67
513902,7707778.98,-1652.2
513944.82,7707823.57,-1649.72
514029.1,7707914.08,-1644.76
514113.38,7708004.58,-1639.81
514282.53,7708185.63,-1629.54
514451.67,7708366.69,-1619.26
514537.1,7708456.01,-1614.38
514622.52,7708545.33,-1609.49
514793.36,7708723.97,-1599.72
514879.34,7708812.65,-1599.36
514965.31,7708901.33,-1599
515137.27,7709078.69,-1598.28
511924.49,7706003.19,-1719.45
512299.05,7706336.03,-1719.45
512673.76,7706668.69,-1719.45
513042.92,7707007.49,-1719.45
513227.04,7707177.39,-1719.45
513411.16,7707347.29,-1719.45
513501.73,7707433.65,-1715.59
513592.3,7707520.01,-1711.73
513681.39,7707607.87,-1707.88
513725.29,7707652.44,-1705.95
513769.19,7707697.01,-1704.02
513812.19,7707742.64,-1701.23
513855.2,7707788.28,-1698.45
513898.2,7707833.91,-1695.66
513941.21,7707879.55,-1692.87
514025.81,7707972.16,-1687.3
514110.42,7708064.77,-1681.73
514280.52,7708249.86,-1670.25
514450.61,7708434.95,-1658.77
514536.25,7708526.48,-1653.26
514621.88,7708618.02,-1647.75
514794.54,7708799.78,-1636.73
514881.72,7708889.74,-1636.28
514968.9,7708979.7,-1635.83
515143.26,7709159.62,-1634.93
511896.28,7706029.34,-1766.93
512276.42,7706367.13,-1766.93
512656.62,7706704.84,-1766.93
513031.13,7707048.84,-1766.93
513217.98,7707221.28,-1766.93
513404.83,7707393.72,-1766.93
513496.28,7707481.82,-1762.3
513587.72,7707569.93,-1757.67
513677.44,7707659.78,-1753.04
513721.58,7707705.39,-1750.72
513765.73,7707751,-1748.41
513808.94,7707797.72,-1745.31
513852.16,7707844.44,-1742.22
513895.37,7707891.17,-1739.12
513938.59,7707937.89,-1736.03
514023.63,7708032.63,-1729.84
514108.66,7708127.38,-1723.65
514279.93,7708316.53,-1710.96
514451.19,7708505.67,-1698.28
514537.36,7708599.27,-1692.14
514623.52,7708692.86,-1686.01
514797.63,7708878.38,-1673.74
514886.08,7708969.7,-1673.2
514974.53,7709061.02,-1672.66
515151.42,7709243.67,-1671.58
511838.45,7706082.95,-1861.87
512230.62,7706431.42,-1861.87
512622.67,7706780,-1861.87
513008.75,7707135.19,-1861.87
513202.37,7707312.16,-1861.87
513394.18,7707491.07,-1861.87
513488.18,7707582.26,-1855.7
513580.73,7707674.94,-1849.53
513671.74,7707769.13,-1843.36
513716.43,7707816.98,-1840.27
513761.12,7707864.83,-1837.18
513804.83,7707913.82,-1833.47
513848.55,7707962.8,-1829.76
513892.26,7708011.78,-1826.05
513935.98,7708060.76,-1822.34
514022.14,7708159.86,-1814.92
514108.31,7708258.96,-1807.49
514282.5,7708456.3,-1792.39
514456.69,7708653.64,-1777.29
514544.12,7708751.51,-1769.91
514631.54,7708849.39,-1762.53
514808.83,7709042.87,-1747.77
514899.41,7709137.71,-1747.04
514989.99,7709232.55,-1746.32
515173.52,7709420,-1744.88
511779.07,7706138,-1956.82
512184.24,7706497.99,-1956.82
512589.09,7706858.34,-1956.82
512987.7,7707225.58,-1956.82
513188.06,7707408.07,-1956.82
513385.74,7707593.39,-1956.82
513481.88,7707688.56,-1949.11
513576.11,7707785.67,-1941.39
513668.48,7707884.57,-1933.67
513713.77,7707934.84,-1929.82
513759.06,7707985.1,-1925.96
513803.36,7708036.45,-1921.63
513847.66,7708087.79,-1917.3
513891.96,7708139.14,-1912.98
513936.26,7708190.48,-1908.65
514023.85,7708294.03,-1899.99
514111.44,7708397.58,-1891.34
514289.22,7708603.18,-1873.82
514466.99,7708808.78,-1856.31
514555.88,7708911.13,-1847.68
514644.77,7709013.49,-1839.05
514825.55,7709215.45,-1821.79
514918.78,7709313.74,-1820.89
515012.01,7709412.04,-1819.99
515201.96,7709605.4,-1818.18
511718.52,7706194.12,-2051.77
512137.42,7706566.29,-2051.77
512555.77,7706939.06,-2051.77
512967.63,7707318.99,-2051.77
513175.14,7707507.32,-2051.77
513378.95,7707699.44,-2051.77
513477.33,7707798.86,-2042.51
513573.29,7707900.69,-2033.25
513667.06,7708004.59,-2023.99
513712.98,7708057.4,-2019.36
513758.9,7708110.2,-2014.73
513803.69,7708164.11,-2009.79
513848.48,7708218.02,-2004.85
513893.26,7708271.93,-1999.9
513938.05,7708325.84,-1994.96
514027.62,7708433.66,-1985.07
514117.2,7708541.47,-1975.18
514299.03,7708755.39,-1955.25
514480.87,7708969.3,-1935.33
514571.39,7709076.29,-1925.45
514661.92,7709183.27,-1915.57
514846.43,7709394.08,-1895.81
514941.58,7709496.81,-1894.73
515038.47,7709597.96,-1893.65
515235.17,7709797.6,-1891.48
511595.49,7706308.16,-2241.67
512043.05,7706705.75,-2241.67
512489.58,7707104.46,-2241.67
512929.15,7707510.85,-2241.67
513151.58,7707711.39,-2241.67
513368.14,7707917.76,-2241.67
513471.14,7708026.13,-2229.32
513570.62,7708137.89,-2216.98
513667.28,7708252.25,-2204.63
513714.53,7708310.35,-2198.46
513761.78,7708368.45,-2192.29
513808.19,7708427.15,-2186.11
513854.6,7708485.85,-2179.93
513901.01,7708544.55,-2173.75
513947.42,7708603.25,-2167.58
514040.24,7708720.65,-2155.22
514133.06,7708838.05,-2142.87
514323.85,7709068.69,-2118.11
514514.63,7709299.33,-2093.36
514608.68,7709415.82,-2080.98
514702.73,7709532.31,-2068.61
514895.1,7709761.42,-2043.86
514995.61,7709872.14,-2042.41
515098.78,7709980.51,-2040.97
515309.52,7710193.35,-2038.09
