X,Y,Z
508773.34,7704209.51,-311.62
509035.23,7704284.46,-309.52
509297.14,7704359.34,-307.51
509559.02,7704434.35,-305.68
509820.89,7704509.36,-304.12
509887.17,7704525.02,-303.76
509953.45,7704540.67,-303.4
510087.22,7704566.3,-302.68
510356.86,7704604.99,-301.51
510491.78,7704623.66,-301.4
510626.69,7704642.33,-301.28
510694.08,7704652.15,-301.6
510761.47,7704661.97,-301.92
510896.26,7704681.6,-302.55
511166.92,7704711.3,-305.85
511438.68,7704695.28,-310.94
511709.16,7704662.93,-317.3
511980.02,7704633.91,-327.53
512250.88,7704604.93,-336.22
512521.77,7704576.28,-339.14
512657.4,7704563.84,-336.71
512793.04,7704551.4,-334.28
512860.31,7704543.06,-330.76
512927.59,7704534.71,-327.24
513062.69,7704513.1,-320.19
513130.67,7704501.95,-314.83
513198.65,7704490.79,-309.47
513332.98,7704490.5,-298.75
513397.91,7704506.15,-294.26
513460.75,7704531.86,-289.77
513577.43,7704604.72,-280.79
513782.55,7704783.97,-283.45
513996.6,7704952.45,-299.09
514199.37,7705134.34,-316.91
514255.42,7705174.79,-317.74
514315.03,7705209.51,-318.58
514442.1,7705251.57,-320.24
514508.56,7705254.87,-319.1
514575.96,7705248.44,-317.96
514711.47,7705221.52,-315.69
514980.33,7705178.38,-312.07
515252.11,7705159.94,-307.26
515523.31,7705134.38,-304.96
515794.39,7705107.51,-304.1
516065.46,7705080.55,-303.41
516336.43,7705052.69,-302.9
516607.52,7705025.89,-303.56
516879.75,7705019.63,-307.69
517151.4,7705039.86,-316.62
517423.08,7705059.79,-324.82
517694.88,7705077.97,-331.18
517966.71,7705095.62,-336.37
518238.56,7705112.98,-340.77
518510.44,7705129.94,-344.1
518782.33,7705146.62,-346.7
519054.26,7705162.79,-347.9
519326.26,7705177.61,-345.51
519598.28,7705192.09,-342.18
508781.72,7704255.87,-432.06
509044.14,7704330.99,-430.09
509306.63,7704405.85,-428.21
509569.03,7704481.02,-426.49
509831.08,7704557.33,-425.03
509897.68,7704571.79,-424.72
509964.28,7704586.24,-424.41
510098.99,7704607.41,-423.78
510370,7704634.61,-422.89
510505.55,7704647.76,-422.88
510641.1,7704660.91,-422.86
510708.72,7704668.35,-423.17
510776.33,7704675.79,-423.48
510911.56,7704690.68,-424.1
511182.9,7704712.17,-427.19
511455.15,7704694.77,-431.96
511726.3,7704663.46,-437.93
511997.76,7704634.94,-447.52
512269.22,7704606.35,-455.66
512540.7,7704578.03,-458.39
512676.33,7704563.39,-456.1
512811.95,7704548.76,-453.81
512879.46,7704538.19,-450.49
512946.97,7704527.62,-447.18
513082,7704506.49,-440.55
513149.9,7704498.58,-435.51
513217.79,7704490.67,-430.47
513350.84,7704499.67,-420.38
513414.34,7704519.54,-416.16
513475.2,7704548.84,-411.94
513587.95,7704626.56,-403.49
513790.81,7704809.64,-405.85
514001.25,7704983.6,-420.42
514201.54,7705169.41,-437.05
514256.48,7705211.81,-437.83
514314.85,7705248.91,-438.6
514440.08,7705295.8,-440.16
514506.3,7705300.95,-439.09
514573.87,7705295.87,-438.02
514710.07,7705270.1,-435.88
514979.23,7705225.29,-432.48
515251.59,7705207.19,-427.97
515523.34,7705181.62,-425.81
515794.97,7705154.7,-425.01
516066.59,7705127.71,-424.36
516338.13,7705099.86,-423.89
516609.75,7705072.86,-424.5
516882.51,7705065.81,-428.37
517154.74,7705085.83,-436.74
517426.97,7705105.74,-444.43
517699.32,7705123.9,-450.4
517971.71,7705141.53,-455.26
518244.12,7705158.88,-459.39
518516.55,7705175.84,-462.51
518789,7705192.53,-464.95
519061.48,7705208.72,-466.07
519334.03,7705223.59,-463.83
519606.6,7705238.13,-460.71
508790.18,7704302.72,-552.5
509053.11,7704378,-550.66
509316.16,7704452.85,-548.9
509579.07,7704528.18,-547.3
509841.28,7704605.75,-545.95
509908.2,7704619.05,-545.68
509975.13,7704632.35,-545.42
510110.71,7704649.24,-544.89
510383.03,7704665.41,-544.27
510519.17,7704673.24,-544.35
510655.32,7704681.08,-544.44
510723.15,7704686.21,-544.74
510790.99,7704691.33,-545.04
510926.65,7704701.58,-545.64
511198.65,7704714.99,-548.53
511471.36,7704696.22,-552.98
511743.15,7704665.93,-558.56
512015.19,7704637.89,-567.51
512287.22,7704609.68,-575.11
512559.27,7704581.67,-577.64
512694.89,7704564.92,-575.49
512830.5,7704548.16,-573.33
512898.11,7704536.68,-570.23
512965.71,7704525.2,-567.12
513100.92,7704502.24,-560.91
513168.69,7704495.18,-556.19
513236.6,7704492.88,-551.46
513368.32,7704510.97,-542.01
513430.38,7704534.94,-538.06
513489.3,7704567.71,-534.1
513598.31,7704650.14,-526.18
513799.07,7704836.8,-528.25
514006.07,7705015.96,-541.75
514204.04,7705205.45,-557.18
514257.9,7705249.72,-557.91
514315.08,7705289.1,-558.63
514438.55,7705340.58,-560.09
514504.52,7705347.49,-559.08
514572.25,7705343.71,-558.07
514709.14,7705319.09,-556.06
514978.58,7705272.7,-552.89
515251.5,7705254.9,-548.68
515523.79,7705229.34,-546.67
515795.95,7705202.37,-545.92
516068.1,7705175.34,-545.32
516340.17,7705147.51,-544.87
516612.3,7705120.32,-545.44
516885.58,7705112.5,-549.05
517158.35,7705132.3,-556.86
517431.12,7705152.2,-564.04
517704.01,7705170.33,-569.61
517976.93,7705187.94,-574.15
518249.87,7705205.27,-578
518522.83,7705222.23,-580.92
518795.82,7705238.92,-583.19
519068.83,7705255.13,-584.25
519341.91,7705270.06,-582.15
519615.01,7705284.67,-579.24
508798.83,7704350.57,-672.94
509062.22,7704426.01,-671.22
509325.78,7704500.84,-669.6
509589.16,7704576.32,-668.11
509851.5,7704655.07,-666.86
509918.75,7704667.31,-666.65
509985.99,7704679.55,-666.43
510122.33,7704692.48,-666
510395.8,7704698.54,-665.64
510532.48,7704701.5,-665.83
510669.16,7704704.46,-666.02
510737.2,7704707.38,-666.31
510805.24,7704710.29,-666.61
510941.32,7704716.11,-667.19
511213.91,7704721.71,-669.87
511487.04,7704701.59,-674
511759.42,7704672.27,-679.18
512032,7704644.68,-687.5
512304.56,7704616.83,-694.55
512577.13,7704589.11,-696.89
512713.25,7704572.94,-694.88
512848.34,7704551.66,-692.86
512915.54,7704538.09,-689.96
512982.75,7704524.52,-687.06
513119.06,7704502.71,-681.27
513186.83,7704498.2,-676.86
513254.65,7704499.7,-672.46
513385.03,7704526.51,-663.64
513445.68,7704554.37,-659.95
513502.77,7704590.36,-656.26
513608.36,7704677.17,-648.88
513807.31,7704866.92,-650.65
514011.21,7705050.73,-663.08
514207.17,7705243.43,-677.31
514260.07,7705289.38,-677.99
514316.14,7705330.84,-678.66
514438,7705386.48,-680.01
514503.71,7705395,-679.07
514571.59,7705392.42,-678.13
514709.13,7705368.91,-676.24
514978.85,7705321.08,-673.3
515252.27,7705303.56,-669.39
515525.05,7705277.99,-667.52
515797.7,7705250.99,-666.82
516070.34,7705223.92,-666.27
516342.9,7705196.1,-665.85
516615.51,7705168.73,-666.39
516889.25,7705160.21,-669.74
517162.53,7705179.8,-676.99
517435.79,7705199.66,-683.65
517709.17,7705217.76,-688.82
517982.58,7705235.34,-693.04
518256.01,7705252.65,-696.62
518529.47,7705269.6,-699.33
518802.94,7705286.29,-701.44
519076.44,7705302.51,-702.42
519350.01,7705317.5,-700.47
519623.59,7705332.17,-697.77
508803.25,7704375.03,-733.16
509066.85,7704450.53,-731.51
509330.64,7704525.36,-729.95
509594.23,7704600.91,-728.51
509856.63,7704680.21,-727.32
509924.02,7704691.97,-727.13
509991.41,7704703.73,-726.93
510128.08,7704714.86,-726.55
510402.05,7704716.35,-726.33
510538.97,7704717.1,-726.57
510675.89,7704717.85,-726.81
510744.02,7704719.72,-727.1
510812.15,7704721.58,-727.39
510948.42,7704725.31,-727.96
511221.29,7704727.14,-730.54
511494.6,7704706.36,-734.51
511767.25,7704677.49,-739.5
512040.08,7704650.11,-747.5
512312.87,7704622.43,-754.27
512585.68,7704594.83,-756.52
512721.82,7704578.07,-754.57
512856.87,7704555.59,-752.62
512924.09,7704541.31,-749.83
512991.3,7704527.04,-747.03
513127.73,7704505.45,-741.45
513195.5,7704502.21,-737.2
513263.27,7704505.55,-732.95
513392.97,7704536.53,-724.46
513452.95,7704566.22,-720.9
513509.18,7704603.71,-717.34
513613.22,7704692.51,-710.23
513811.43,7704883.56,-711.85
514013.96,7705069.39,-723.74
514209.07,7705263.44,-737.38
514261.55,7705310.15,-738.03
514317.12,7705352.52,-738.68
514438.24,7705410.02,-739.97
514503.84,7705419.26,-739.06
514571.78,7705417.23,-738.15
514709.63,7705394.25,-736.33
514979.47,7705345.79,-733.51
515253.12,7705328.38,-729.75
515526.12,7705302.81,-727.95
