518531.29,7697157.49,-1050.00
518524.91,7697169.60,-1050.00
518517.41,7697183.48,-1050.00
518497.64,7697219.60,-1050.00
518481.29,7697248.66,-1050.00
518469.84,7697269.60,-1050.00
518455.12,7697295.77,-1050.00
518441.57,7697319.60,-1050.00
518431.29,7697337.13,-1050.00
518412.80,7697369.60,-1050.00
518386.40,7697414.48,-1050.00
518383.37,7697419.60,-1050.00
518381.29,7697422.99,-1050.00
518353.51,7697469.60,-1050.00
518331.29,7697505.62,-1050.00
518322.90,7697519.60,-1050.00
518309.09,7697541.80,-1050.00
518291.68,7697569.60,-1050.00
518281.29,7697585.60,-1050.00
518259.78,7697619.60,-1050.00
518231.29,7697662.95,-1050.00
518227.03,7697669.60,-1050.00
518218.53,7697682.36,-1050.00
518193.61,7697719.60,-1050.00
518181.29,7697737.28,-1050.00
518159.31,7697769.60,-1050.00
518131.29,7697809.14,-1050.00
518124.05,7697819.60,-1050.00
518105.15,7697845.74,-1050.00
518087.86,7697869.60,-1050.00
518081.29,7697878.29,-1050.00
518050.70,7697919.60,-1050.00
518031.29,7697944.68,-1050.00
518012.38,7697969.60,-1050.00
517981.29,7698008.77,-1050.00
517972.85,7698019.60,-1050.00
517935.41,7698065.48,-1050.00
517932.04,7698069.60,-1050.00
517931.29,7698070.49,-1050.00
517890.01,7698119.60,-1050.00
517881.29,7698129.51,-1050.00
517846.57,7698169.60,-1050.00
517831.29,7698186.46,-1050.00
517801.71,7698219.60,-1050.00
517781.29,7698241.42,-1050.00
517755.27,7698269.60,-1050.00
517731.29,7698294.36,-1050.00
517707.43,7698319.60,-1050.00
517681.29,7698346.09,-1050.00
517658.68,7698369.60,-1050.00
517631.29,7698396.75,-1050.00
517608.49,7698419.60,-1050.00
517581.29,7698445.69,-1050.00
517556.30,7698469.60,-1050.00
517531.29,7698492.64,-1050.00
517501.81,7698519.60,-1050.00
517481.29,7698537.80,-1050.00
517445.26,7698569.60,-1050.00
517431.29,7698581.69,-1050.00
517387.46,7698619.60,-1050.00
517381.29,7698624.93,-1050.00
517340.78,7698660.11,-1050.00
517331.29,7698668.36,-1050.00
517329.88,7698669.60,-1050.00
517304.28,7698692.59,-1050.00
517281.29,7698712.97,-1050.00
517277.81,7698716.12,-1050.00
517273.94,7698719.60,-1050.00
517251.85,7698740.16,-1050.00
517231.29,7698759.07,-1050.00
517225.86,7698764.17,-1050.00
517220.08,7698769.60,-1050.00
517181.29,7698807.54,-1050.00
517169.29,7698819.60,-1050.00
517131.29,7698860.05,-1050.00
517122.61,7698869.60,-1050.00
517103.53,7698891.84,-1050.00
517081.29,7698917.92,-1050.00
517080.52,7698918.84,-1050.00
517079.89,7698919.60,-1050.00
517074.89,7698926.00,-1050.00
517040.80,7698969.60,-1050.00
517031.29,7698982.61,-1050.00
517004.82,7699019.60,-1050.00
516981.29,7699054.80,-1050.00
516971.55,7699069.60,-1050.00
516955.51,7699095.38,-1050.00
516940.55,7699119.60,-1050.00
516931.29,7699135.17,-1050.00
516911.04,7699169.60,-1050.00
516900.42,7699188.73,-1050.00
516882.11,7699219.60,-1050.00
516881.29,7699221.05,-1050.00
516864.11,7699252.42,-1050.00
516854.09,7699269.60,-1050.00
516831.29,7699309.67,-1050.00
516827.79,7699316.10,-1050.00
516825.75,7699319.60,-1050.00
516810.05,7699348.36,-1050.00
516797.71,7699369.60,-1050.00
516781.29,7699398.73,-1050.00
516769.87,7699419.60,-1050.00
516756.04,7699444.85,-1050.00
516742.71,7699469.60,-1050.00
516738.77,7699477.09,-1050.00
516731.29,7699490.92,-1050.00
516721.66,7699509.97,-1050.00
516716.57,7699519.60,-1050.00
516704.81,7699543.12,-1050.00
516691.25,7699569.60,-1050.00
516687.95,7699576.26,-1050.00
516681.29,7699589.47,-1050.00
516671.60,7699609.91,-1050.00
516666.85,7699619.60,-1050.00
516655.40,7699643.71,-1050.00
516642.65,7699669.60,-1050.00
516631.29,7699692.48,-1050.00
516618.15,7699719.60,-1050.00
516606.11,7699744.42,-1050.00
516592.91,7699769.60,-1050.00
516589.09,7699777.40,-1050.00
516581.29,7699791.88,-1050.00
516572.01,7699810.32,-1050.00
516566.79,7699819.60,-1050.00
516554.74,7699843.05,-1050.00
516539.73,7699869.60,-1050.00
516536.78,7699875.09,-1050.00
516531.29,7699884.46,-1050.00
516518.69,7699907.00,-1050.00
516510.82,7699919.60,-1050.00
516499.83,7699938.14,-1050.00
516481.29,7699966.44,-1050.00
516480.06,7699968.37,-1050.00
516479.20,7699969.60,-1050.00
516460.00,7699998.31,-1050.00
516444.33,7700019.60,-1050.00
516438.94,7700027.25,-1050.00
516431.29,7700037.19,-1050.00
516417.31,7700055.62,-1050.00
516405.61,7700069.60,-1050.00
516394.84,7700083.15,-1050.00
516381.29,7700098.56,-1050.00
516371.44,7700109.75,-1050.00
516361.83,7700119.60,-1050.00
516347.14,7700135.45,-1050.00
516331.29,7700150.86,-1050.00
516321.75,7700160.06,-1050.00
516310.73,7700169.60,-1050.00
516295.32,7700183.63,-1050.00
516281.29,7700195.08,-1050.00
516267.71,7700206.02,-1050.00
516248.82,7700219.60,-1050.00
516238.84,7700227.15,-1050.00
516231.29,7700232.23,-1050.00
516208.76,7700247.07,-1050.00
516181.29,7700263.14,-1050.00
516177.17,7700265.48,-1050.00
516168.95,7700269.60,-1050.00
516144.26,7700282.57,-1050.00
516131.29,7700288.57,-1050.00
516109.75,7700298.06,-1050.00
516081.29,7700309.06,-1050.00
516073.54,7700311.85,-1050.00
516048.84,7700319.60,-1050.00
516035.61,7700323.93,-1050.00
516031.29,7700325.15,-1050.00
515995.84,7700334.16,-1050.00
515981.29,7700337.32,-1050.00
515954.05,7700342.36,-1050.00
515931.29,7700345.90,-1050.00
515910.14,7700348.45,-1050.00
515881.29,7700351.27,-1050.00
515848.18,7700352.71,-1050.00
515831.29,7700353.69,-1050.00
515797.51,7700353.38,-1050.00
515781.29,7700353.39,-1050.00
515749.43,7700351.46,-1050.00
515731.29,7700350.45,-1050.00
515703.52,7700347.37,-1050.00
515681.29,7700344.86,-1050.00
515659.56,7700341.33,-1050.00
515631.29,7700336.50,-1050.00
515617.41,7700333.48,-1050.00
515581.29,7700325.10,-1050.00
515576.98,7700323.91,-1050.00
515562.49,7700319.60,-1050.00
515538.35,7700312.54,-1050.00
515531.29,7700310.32,-1050.00
515501.37,7700299.52,-1050.00
515481.29,7700291.71,-1050.00
515465.88,7700285.00,-1050.00
515432.94,7700269.60,-1050.00
515431.81,7700269.08,-1050.00
515431.29,7700268.83,-1050.00
515399.35,7700251.54,-1050.00
515381.29,7700241.08,-1050.00
515368.11,7700232.78,-1050.00
515348.40,7700219.60,-1050.00
515338.07,7700212.82,-1050.00
515331.29,7700208.08,-1050.00
515309.32,7700191.57,-1050.00
515281.57,7700169.60,-1050.00
515281.41,7700169.48,-1050.00
515281.29,7700169.38,-1050.00
515254.78,7700146.11,-1050.00
515231.29,7700124.59,-1050.00
515228.77,7700122.12,-1050.00
515226.28,7700119.60,-1050.00
515203.83,7700097.06,-1050.00
515181.29,7700073.65,-1050.00
515179.37,7700071.52,-1050.00
515177.68,7700069.60,-1050.00
515152.28,7700040.59,-1050.00
515133.87,7700019.60,-1050.00
515132.67,7700018.22,-1050.00
515131.29,7700016.61,-1050.00
515110.34,7699990.55,-1050.00
515093.83,7699969.60,-1050.00
515088.26,7699962.63,-1050.00
515081.29,7699953.72,-1050.00
515066.81,7699934.07,-1050.00
515056.33,7699919.60,-1050.00
515045.73,7699905.16,-1050.00
515031.29,7699885.17,-1050.00
515024.99,7699875.90,-1050.00
515020.79,7699869.60,-1050.00
515004.81,7699846.08,-1050.00
514987.18,7699819.60,-1050.00
514984.80,7699816.09,-1050.00
514981.29,7699810.82,-1050.00
514965.39,7699785.50,-1050.00
514955.66,7699769.60,-1050.00
514946.27,7699754.62,-1050.00
514931.29,7699730.02,-1050.00
514927.47,7699723.42,-1050.00
514925.33,7699719.60,-1050.00
514909.24,7699691.65,-1050.00
514897.00,7699669.60,-1050.00
514891.29,7699659.59,-1050.00
514881.29,7699641.33,-1050.00
514873.80,7699627.09,-1050.00
514870.01,7699619.60,-1050.00
514856.80,7699594.09,-1050.00
514844.67,7699569.60,-1050.00
514840.17,7699560.72,-1050.00
514831.29,7699542.36,-1050.00
514824.01,7699526.88,-1050.00
514820.76,7699519.60,-1050.00
514808.38,7699492.50,-1050.00
514798.43,7699469.60,-1050.00
514793.19,7699457.70,-1050.00
514781.29,7699429.34,-1050.00
514778.45,7699422.44,-1050.00
514777.33,7699419.60,-1050.00
514764.30,7699386.59,-1050.00
514757.90,7699369.60,-1050.00
514744.57,7699332.89,-1050.00
514739.65,7699319.60,-1050.00
514731.29,7699295.19,-1050.00
514722.79,7699269.60,-1050.00
514719.04,7699257.35,-1050.00
514707.29,7699219.60,-1050.00
514697.76,7699186.07,-1050.00
514693.01,7699169.60,-1050.00
514690.55,7699160.34,-1050.00
514681.29,7699124.77,-1050.00
514680.23,7699120.66,-1050.00
514679.95,7699119.60,-1050.00
514670.67,7699080.22,-1050.00
514668.19,7699069.60,-1050.00
514661.75,7699039.14,-1050.00
514657.60,7699019.60,-1050.00
514653.45,7698997.44,-1050.00
514648.15,7698969.60,-1050.00
514645.78,7698955.11,-1050.00
514639.79,7698919.60,-1050.00
